name,animal,aspect,weapon,colour,power,species,sex,rank,alignment,epithet,description,edictDef
Invidia,Gorgon,Envy,Staff,Blue,Mimicry,Changeling,F,Imperatora,Sin,,,
Gula,Hydra,Gluttony,Battleaxe,Purple,Power Absorption,Tiefling,M,Venator,Sin,,,
Avaritia,Dragon,Greed,Warhammer,Green,Ferrokinesis,Dwarf,M,Ferrator,Sin,,,
Luxuria,Siren,Lust,Daggers,Pink,Illusion,Faerie,F,Domina,Sin,,,
Superbia,Phoenix,Pride,Sword,Yellow,Resurrective Self-Immolation,Elf,F,Luminora,Sin,,,
Acedia,Sphinx,Sloth,Mace,Orange,Paralysis,Golem,M,Exaltus,Sin,,,
Ira,Kraken,Wrath,Chain-Whip,Red,Strength,Werewolf,F,Bellatrix,Sin,The Chainbreaker,"Growing up under the boot of all those more fortunate than her, Ira developed a strong sense of justice and an intense hatred for injustice and abuse of power. After being sentenced as the Sin of Wrath for a thousand years, then being cursed with The Curse of The Kraken upon her release, she sought to find every abuser of power and reduce them to little more than a crater in the ground.\n\nExtra Details:\n-Beheaded Ouroboros Tattoo",
Patientia,Tortoise,Patience,Hourglass,Blue,Time-Slowing,Elf,M,Imperator,Virtue,,,
Caritas,Elephant,Charity,Scepter,Orange,Healing,Dryad,F,Ferratrix,Virtue,,,
Castitas,Swan,Chastity,Spear,Pink,Disease/Poison Immunity,Fae,M,Bellator,Virtue,,,
Diligentia,Ant,Diligence,Daggers,Red,Hyper-Sensitive Senses,Sprite,M,Venator,Virtue,,,
Humanitas,Dog,Kindness,Shield,Green,Invulnerability,Nymph,F,Luminoria,Virtue,,,
Humilitas,Deer,Humility,Bow,Purple,Invisibility,Spirit,M,Exaltus,Virtue,,,
Temperantia,Horse,Temperance,Scales of Judgement,Yellow,Resistance to Temptation,Naga,F,Domina,Virtue,,,